symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
AUDCHFm,2024-07-16 01:45:00+00:00,0.60448,0.60452,0.60413,0.60452,269,9,0,15m,2024-07-16 01:45:00.000
AUDCHFm,2024-07-16 02:00:00+00:00,0.60451,0.60463,0.60441,0.60454,236,9,0,15m,2024-07-16 02:00:00.000
AUDCHFm,2024-07-16 02:15:00+00:00,0.60455,0.6046,0.60413,0.60425,216,9,0,15m,2024-07-16 02:15:00.000
AUDCHFm,2024-07-16 02:30:00+00:00,0.60425,0.60431,0.60389,0.60404,225,9,0,15m,2024-07-16 02:30:00.000
AUDCHFm,2024-07-16 02:45:00+00:00,0.60404,0.60425,0.60401,0.60419,218,9,0,15m,2024-07-16 02:45:00.000
AUDCHFm,2024-07-16 03:00:00+00:00,0.60416,0.60427,0.6039,0.60427,190,9,0,15m,2024-07-16 03:00:00.000
AUDCHFm,2024-07-16 03:15:00+00:00,0.60427,0.60455,0.60426,0.6045,207,9,0,15m,2024-07-16 03:15:00.000
AUDCHFm,2024-07-16 03:30:00+00:00,0.60449,0.60453,0.60428,0.60436,131,9,0,15m,2024-07-16 03:30:00.000
AUDCHFm,2024-07-16 03:45:00+00:00,0.60436,0.6045,0.60428,0.6044,141,9,0,15m,2024-07-16 03:45:00.000
AUDCHFm,2024-07-16 04:00:00+00:00,0.6044,0.60454,0.60435,0.60435,141,9,0,15m,2024-07-16 04:00:00.000
AUDCHFm,2024-07-16 04:15:00+00:00,0.60435,0.60441,0.60393,0.60397,125,15,0,15m,2024-07-16 04:15:00.000
AUDCHFm,2024-07-16 04:30:00+00:00,0.60396,0.60406,0.6037,0.60387,157,9,0,15m,2024-07-16 04:30:00.000
AUDCHFm,2024-07-16 04:45:00+00:00,0.60386,0.60386,0.60337,0.60356,178,9,0,15m,2024-07-16 04:45:00.000
AUDCHFm,2024-07-16 05:00:00+00:00,0.60358,0.6036,0.60313,0.60338,203,9,0,15m,2024-07-16 05:00:00.000
AUDCHFm,2024-07-16 05:15:00+00:00,0.60338,0.6035,0.60321,0.6034,173,9,0,15m,2024-07-16 05:15:00.000
AUDCHFm,2024-07-16 05:30:00+00:00,0.60341,0.60352,0.6033,0.60345,186,9,0,15m,2024-07-16 05:30:00.000
AUDCHFm,2024-07-16 05:45:00+00:00,0.60345,0.60349,0.6031,0.60329,194,9,0,15m,2024-07-16 05:45:00.000
AUDCHFm,2024-07-16 06:00:00+00:00,0.60328,0.60328,0.60267,0.60289,310,9,0,15m,2024-07-16 06:00:00.000
AUDCHFm,2024-07-16 06:15:00+00:00,0.60289,0.60334,0.60287,0.60327,281,9,0,15m,2024-07-16 06:15:00.000
AUDCHFm,2024-07-16 06:30:00+00:00,0.60327,0.60334,0.60301,0.60316,268,9,0,15m,2024-07-16 06:30:00.000
AUDCHFm,2024-07-16 06:45:00+00:00,0.60316,0.60331,0.60302,0.60316,286,9,0,15m,2024-07-16 06:45:00.000
AUDCHFm,2024-07-16 07:00:00+00:00,0.60318,0.60353,0.6031,0.60342,298,9,0,15m,2024-07-16 07:00:00.000
AUDCHFm,2024-07-16 07:15:00+00:00,0.60342,0.60365,0.60338,0.60341,302,9,0,15m,2024-07-16 07:15:00.000
