symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
BTCUSDm,2024-07-20 01:45:00+00:00,66519.79,66542.25,66249.76,66379.74,1833,2383,0,15m,2024-07-20 01:45:00.000
BTCUSDm,2024-07-20 02:00:00+00:00,66383.39,66516.11,66343.04,66484.56,1591,2447,0,15m,2024-07-20 02:00:00.000
BTCUSDm,2024-07-20 02:15:00+00:00,66485.48,66603.52,66479.04,66543.11,1718,2394,0,15m,2024-07-20 02:15:00.000
BTCUSDm,2024-07-20 02:30:00+00:00,66538.5,66652.19,66497.88,66634.0,1724,2380,0,15m,2024-07-20 02:30:00.000
BTCUSDm,2024-07-20 02:45:00+00:00,66632.03,66652.48,66557.15,66595.22,1488,2352,0,15m,2024-07-20 02:45:00.000
BTCUSDm,2024-07-20 03:00:00+00:00,66589.7,66784.11,66556.36,66697.7,1506,2366,0,15m,2024-07-20 03:00:00.000
BTCUSDm,2024-07-20 03:15:00+00:00,66696.17,66738.77,66610.71,66678.39,1628,2470,0,15m,2024-07-20 03:15:00.000
BTCUSDm,2024-07-20 03:30:00+00:00,66680.21,66696.87,66571.86,66647.27,1675,2482,0,15m,2024-07-20 03:30:00.000
BTCUSDm,2024-07-20 03:45:00+00:00,66647.16,66700.13,66602.93,66612.98,1490,2480,0,15m,2024-07-20 03:45:00.000
BTCUSDm,2024-07-20 04:00:00+00:00,66615.95,66650.76,66468.47,66594.03,1564,2463,0,15m,2024-07-20 04:00:00.000
BTCUSDm,2024-07-20 04:15:00+00:00,66595.27,66714.84,66567.42,66687.44,1517,2450,0,15m,2024-07-20 04:15:00.000
BTCUSDm,2024-07-20 04:30:00+00:00,66691.71,66695.01,66614.49,66657.21,1280,2450,0,15m,2024-07-20 04:30:00.000
BTCUSDm,2024-07-20 04:45:00+00:00,66658.26,66681.76,66561.21,66669.97,1499,2494,0,15m,2024-07-20 04:45:00.000
BTCUSDm,2024-07-20 05:00:00+00:00,66665.9,66677.35,66545.25,66606.41,1342,2539,0,15m,2024-07-20 05:00:00.000
BTCUSDm,2024-07-20 05:15:00+00:00,66602.28,66602.28,66485.45,66531.08,1393,2581,0,15m,2024-07-20 05:15:00.000
BTCUSDm,2024-07-20 05:30:00+00:00,66527.95,66539.89,66430.39,66462.01,1317,2637,0,15m,2024-07-20 05:30:00.000
BTCUSDm,2024-07-20 05:45:00+00:00,66459.31,66584.09,66434.79,66531.23,1224,2637,0,15m,2024-07-20 05:45:00.000
BTCUSDm,2024-07-20 06:00:00+00:00,66529.06,66611.25,66497.69,66592.95,1253,2641,0,15m,2024-07-20 06:00:00.000
BTCUSDm,2024-07-20 06:15:00+00:00,66588.77,66615.65,66525.69,66586.02,1306,2619,0,15m,2024-07-20 06:15:00.000
BTCUSDm,2024-07-20 06:30:00+00:00,66585.0,66668.76,66537.36,66658.85,1357,2531,0,15m,2024-07-20 06:30:00.000
BTCUSDm,2024-07-20 06:45:00+00:00,66663.61,66668.92,66608.75,66636.43,1180,2460,0,15m,2024-07-20 06:45:00.000
BTCUSDm,2024-07-20 07:00:00+00:00,66631.42,66643.37,66521.83,66610.45,1336,2459,0,15m,2024-07-20 07:00:00.000
BTCUSDm,2024-07-20 07:15:00+00:00,66609.13,66767.52,66609.13,66680.32,1459,2485,0,15m,2024-07-20 07:15:00.000
BTCUSDm,2024-07-20 07:30:00+00:00,66678.75,66683.63,66577.17,66617.04,1478,2495,0,15m,2024-07-20 07:30:00.000
BTCUSDm,2024-07-20 07:45:00+00:00,66615.79,66645.09,66562.09,66564.79,1264,2555,0,15m,2024-07-20 07:45:00.000
BTCUSDm,2024-07-20 08:00:00+00:00,66565.44,66625.41,66508.96,66607.25,1311,2582,0,15m,2024-07-20 08:00:00.000
BTCUSDm,2024-07-20 08:15:00+00:00,66607.96,66635.75,66570.03,66614.61,1077,2603,0,15m,2024-07-20 08:15:00.000
BTCUSDm,2024-07-20 08:30:00+00:00,66618.99,66626.42,66471.53,66558.94,1473,2603,0,15m,2024-07-20 08:30:00.000
BTCUSDm,2024-07-20 08:45:00+00:00,66557.9,66569.46,66460.32,66512.98,1495,2682,0,15m,2024-07-20 08:45:00.000
BTCUSDm,2024-07-20 09:00:00+00:00,66516.33,66593.77,66480.69,66572.05,1325,2780,0,15m,2024-07-20 09:00:00.000
BTCUSDm,2024-07-20 09:15:00+00:00,66575.45,66606.77,66513.46,66598.34,1228,2866,0,15m,2024-07-20 09:15:00.000
BTCUSDm,2024-07-20 09:30:00+00:00,66596.27,66736.27,66575.76,66708.05,1503,2542,0,15m,2024-07-20 09:30:00.000
BTCUSDm,2024-07-20 09:45:00+00:00,66708.15,66708.15,66582.7,66597.71,1325,2507,0,15m,2024-07-20 09:45:00.000
BTCUSDm,2024-07-20 10:00:00+00:00,66598.85,66672.59,66558.58,66566.8,1412,2606,0,15m,2024-07-20 10:00:00.000
BTCUSDm,2024-07-20 10:15:00+00:00,66569.3,66579.46,66492.71,66517.43,1194,2684,0,15m,2024-07-20 10:15:00.000
BTCUSDm,2024-07-20 10:30:00+00:00,66521.76,66552.26,66478.33,66488.69,1116,2939,0,15m,2024-07-20 10:30:00.000
BTCUSDm,2024-07-20 10:45:00+00:00,66491.34,66566.91,66479.63,66535.46,1310,3013,0,15m,2024-07-20 10:45:00.000
BTCUSDm,2024-07-20 11:00:00+00:00,66534.89,66549.1,66481.3,66504.05,1104,3086,0,15m,2024-07-20 11:00:00.000
BTCUSDm,2024-07-20 11:15:00+00:00,66504.33,66540.38,66474.62,66532.12,1172,3155,0,15m,2024-07-20 11:15:00.000
BTCUSDm,2024-07-20 11:30:00+00:00,66531.44,66568.88,66478.66,66549.27,1218,3155,0,15m,2024-07-20 11:30:00.000
BTCUSDm,2024-07-20 11:45:00+00:00,66545.36,66546.84,66472.62,66490.98,1222,3168,0,15m,2024-07-20 11:45:00.000
BTCUSDm,2024-07-20 12:00:00+00:00,66491.86,66553.01,66472.3,66514.08,1335,3138,0,15m,2024-07-20 12:00:00.000
BTCUSDm,2024-07-20 12:15:00+00:00,66513.1,66534.97,66454.92,66512.07,1473,3151,0,15m,2024-07-20 12:15:00.000
BTCUSDm,2024-07-20 12:30:00+00:00,66508.59,66546.71,66466.14,66481.31,1383,3167,0,15m,2024-07-20 12:30:00.000
BTCUSDm,2024-07-20 12:45:00+00:00,66483.17,66519.2,66464.72,66490.68,1191,3208,0,15m,2024-07-20 12:45:00.000
BTCUSDm,2024-07-20 13:00:00+00:00,66492.09,66514.51,66419.45,66425.4,1154,3138,0,15m,2024-07-20 13:00:00.000
BTCUSDm,2024-07-20 13:15:00+00:00,66425.55,66567.27,66291.63,66553.96,1759,2688,0,15m,2024-07-20 13:15:00.000
BTCUSDm,2024-07-20 13:30:00+00:00,66556.0,66647.4,66339.87,66446.1,1991,2700,0,15m,2024-07-20 13:30:00.000
BTCUSDm,2024-07-20 13:45:00+00:00,66450.81,66549.73,66410.09,66526.18,1387,2903,0,15m,2024-07-20 13:45:00.000
BTCUSDm,2024-07-20 14:00:00+00:00,66529.53,66593.44,66487.83,66553.03,1224,2775,0,15m,2024-07-20 14:00:00.000
BTCUSDm,2024-07-20 14:15:00+00:00,66553.66,66619.44,66545.37,66573.67,1081,2721,0,15m,2024-07-20 14:15:00.000
BTCUSDm,2024-07-20 14:30:00+00:00,66569.06,66700.92,66541.11,66666.61,1415,2655,0,15m,2024-07-20 14:30:00.000
BTCUSDm,2024-07-20 14:45:00+00:00,66666.98,66672.03,66547.12,66578.56,1146,2611,0,15m,2024-07-20 14:45:00.000
BTCUSDm,2024-07-20 15:00:00+00:00,66579.55,66686.88,66559.58,66635.82,1288,2720,0,15m,2024-07-20 15:00:00.000
BTCUSDm,2024-07-20 15:15:00+00:00,66637.25,66726.57,66606.75,66710.44,1177,2578,0,15m,2024-07-20 15:15:00.000
BTCUSDm,2024-07-20 15:30:00+00:00,66706.89,66821.54,66583.35,66664.0,1958,2578,0,15m,2024-07-20 15:30:00.000
BTCUSDm,2024-07-20 15:45:00+00:00,66659.2,66838.06,66644.86,66811.35,1602,2613,0,15m,2024-07-20 15:45:00.000
