symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
EURAUDm,2024-07-16 01:45:00+00:00,1.61396,1.61459,1.61366,1.61368,441,23,0,15m,2024-07-16 01:45:00.000
EURAUDm,2024-07-16 02:00:00+00:00,1.61367,1.61409,1.61347,1.6138,373,23,0,15m,2024-07-16 02:00:00.000
EURAUDm,2024-07-16 02:15:00+00:00,1.61377,1.61446,1.61363,1.61443,349,23,0,15m,2024-07-16 02:15:00.000
EURAUDm,2024-07-16 02:30:00+00:00,1.61443,1.61501,1.61432,1.61481,375,23,0,15m,2024-07-16 02:30:00.000
EURAUDm,2024-07-16 02:45:00+00:00,1.61482,1.61484,1.61422,1.61464,362,23,0,15m,2024-07-16 02:45:00.000
EURAUDm,2024-07-16 03:00:00+00:00,1.61462,1.61514,1.61422,1.61423,337,23,0,15m,2024-07-16 03:00:00.000
EURAUDm,2024-07-16 03:15:00+00:00,1.61425,1.6143,1.61361,1.61375,342,23,0,15m,2024-07-16 03:15:00.000
EURAUDm,2024-07-16 03:30:00+00:00,1.61375,1.61432,1.61372,1.61405,264,23,0,15m,2024-07-16 03:30:00.000
EURAUDm,2024-07-16 03:45:00+00:00,1.61405,1.61424,1.6137,1.61416,244,23,0,15m,2024-07-16 03:45:00.000
EURAUDm,2024-07-16 04:00:00+00:00,1.61416,1.61416,1.6137,1.61412,227,23,0,15m,2024-07-16 04:00:00.000
EURAUDm,2024-07-16 04:15:00+00:00,1.61411,1.61502,1.61403,1.61502,233,23,0,15m,2024-07-16 04:15:00.000
EURAUDm,2024-07-16 04:30:00+00:00,1.61506,1.61541,1.61489,1.61525,260,23,0,15m,2024-07-16 04:30:00.000
EURAUDm,2024-07-16 04:45:00+00:00,1.61526,1.61569,1.61504,1.6155,269,23,0,15m,2024-07-16 04:45:00.000
EURAUDm,2024-07-16 05:00:00+00:00,1.6155,1.61649,1.6155,1.61579,385,23,0,15m,2024-07-16 05:00:00.000
EURAUDm,2024-07-16 05:15:00+00:00,1.6158,1.61631,1.61552,1.61564,328,23,0,15m,2024-07-16 05:15:00.000
EURAUDm,2024-07-16 05:30:00+00:00,1.61562,1.61584,1.61509,1.61538,369,23,0,15m,2024-07-16 05:30:00.000
EURAUDm,2024-07-16 05:45:00+00:00,1.61538,1.61613,1.61527,1.61548,357,23,0,15m,2024-07-16 05:45:00.000
EURAUDm,2024-07-16 06:00:00+00:00,1.61553,1.61631,1.6155,1.61592,484,23,0,15m,2024-07-16 06:00:00.000
