symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
EURCADm,2024-07-16 01:45:00+00:00,1.48992,1.49017,1.48988,1.49,201,20,0,15m,2024-07-16 01:45:00.000
EURCADm,2024-07-16 02:00:00+00:00,1.49,1.4901,1.48976,1.48982,156,20,0,15m,2024-07-16 02:00:00.000
EURCADm,2024-07-16 02:15:00+00:00,1.48981,1.48989,1.48974,1.48988,142,20,0,15m,2024-07-16 02:15:00.000
EURCADm,2024-07-16 02:30:00+00:00,1.48988,1.49007,1.48986,1.49002,195,20,0,15m,2024-07-16 02:30:00.000
EURCADm,2024-07-16 02:45:00+00:00,1.49002,1.49012,1.48989,1.4901,174,20,0,15m,2024-07-16 02:45:00.000
EURCADm,2024-07-16 03:00:00+00:00,1.49009,1.49033,1.49009,1.49016,156,20,0,15m,2024-07-16 03:00:00.000
EURCADm,2024-07-16 03:15:00+00:00,1.49016,1.49025,1.4901,1.49018,151,20,0,15m,2024-07-16 03:15:00.000
EURCADm,2024-07-16 03:30:00+00:00,1.49018,1.49022,1.49003,1.49011,146,20,0,15m,2024-07-16 03:30:00.000
EURCADm,2024-07-16 03:45:00+00:00,1.49011,1.49029,1.49005,1.49024,109,20,0,15m,2024-07-16 03:45:00.000
EURCADm,2024-07-16 04:00:00+00:00,1.49026,1.4904,1.49015,1.49033,129,20,0,15m,2024-07-16 04:00:00.000
EURCADm,2024-07-16 04:15:00+00:00,1.49033,1.49052,1.49031,1.49043,86,20,0,15m,2024-07-16 04:15:00.000
EURCADm,2024-07-16 04:30:00+00:00,1.49042,1.49054,1.49038,1.49052,145,20,0,15m,2024-07-16 04:30:00.000
EURCADm,2024-07-16 04:45:00+00:00,1.49052,1.49056,1.49027,1.49042,162,20,0,15m,2024-07-16 04:45:00.000
EURCADm,2024-07-16 05:00:00+00:00,1.49042,1.49076,1.4904,1.49049,188,20,0,15m,2024-07-16 05:00:00.000
EURCADm,2024-07-16 05:15:00+00:00,1.4905,1.49056,1.49029,1.49029,160,20,0,15m,2024-07-16 05:15:00.000
EURCADm,2024-07-16 05:30:00+00:00,1.49031,1.49033,1.49008,1.4902,177,20,0,15m,2024-07-16 05:30:00.000
EURCADm,2024-07-16 05:45:00+00:00,1.4902,1.49033,1.49002,1.49009,185,20,0,15m,2024-07-16 05:45:00.000
EURCADm,2024-07-16 06:00:00+00:00,1.49009,1.49053,1.49002,1.49046,315,20,0,15m,2024-07-16 06:00:00.000
