symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
GBPAUDm,2024-07-16 01:45:00+00:00,1.92088,1.92171,1.92079,1.92082,505,28,0,15m,2024-07-16 01:45:00.000
GBPAUDm,2024-07-16 02:00:00+00:00,1.92081,1.9212,1.9205,1.92098,440,28,0,15m,2024-07-16 02:00:00.000
GBPAUDm,2024-07-16 02:15:00+00:00,1.92097,1.92168,1.92081,1.92161,409,28,0,15m,2024-07-16 02:15:00.000
GBPAUDm,2024-07-16 02:30:00+00:00,1.92162,1.92247,1.92154,1.92226,411,28,0,15m,2024-07-16 02:30:00.000
GBPAUDm,2024-07-16 02:45:00+00:00,1.92226,1.92245,1.92159,1.92189,398,28,0,15m,2024-07-16 02:45:00.000
GBPAUDm,2024-07-16 03:00:00+00:00,1.92194,1.92226,1.92117,1.92124,371,28,0,15m,2024-07-16 03:00:00.000
GBPAUDm,2024-07-16 03:15:00+00:00,1.92124,1.9213,1.9204,1.92062,394,28,0,15m,2024-07-16 03:15:00.000
GBPAUDm,2024-07-16 03:30:00+00:00,1.92063,1.92131,1.92057,1.92108,309,28,0,15m,2024-07-16 03:30:00.000
GBPAUDm,2024-07-16 03:45:00+00:00,1.92108,1.92128,1.92068,1.92103,274,28,0,15m,2024-07-16 03:45:00.000
GBPAUDm,2024-07-16 04:00:00+00:00,1.92104,1.92106,1.9205,1.92105,287,28,0,15m,2024-07-16 04:00:00.000
GBPAUDm,2024-07-16 04:15:00+00:00,1.92104,1.92201,1.92092,1.92201,275,28,0,15m,2024-07-16 04:15:00.000
GBPAUDm,2024-07-16 04:30:00+00:00,1.92199,1.92243,1.92176,1.92227,267,28,0,15m,2024-07-16 04:30:00.000
GBPAUDm,2024-07-16 04:45:00+00:00,1.92228,1.92284,1.92217,1.92256,304,28,0,15m,2024-07-16 04:45:00.000
GBPAUDm,2024-07-16 05:00:00+00:00,1.92257,1.92365,1.92256,1.92292,389,28,0,15m,2024-07-16 05:00:00.000
GBPAUDm,2024-07-16 05:15:00+00:00,1.92294,1.92341,1.92251,1.92255,367,28,0,15m,2024-07-16 05:15:00.000
GBPAUDm,2024-07-16 05:30:00+00:00,1.92251,1.92289,1.92233,1.9224,416,28,0,15m,2024-07-16 05:30:00.000
GBPAUDm,2024-07-16 05:45:00+00:00,1.92241,1.9233,1.92222,1.92243,429,28,0,15m,2024-07-16 05:45:00.000
GBPAUDm,2024-07-16 06:00:00+00:00,1.9225,1.92376,1.9225,1.92341,528,28,0,15m,2024-07-16 06:00:00.000
GBPAUDm,2024-07-16 06:15:00+00:00,1.92337,1.92348,1.92209,1.92223,447,28,0,15m,2024-07-16 06:15:00.000
GBPAUDm,2024-07-16 06:30:00+00:00,1.92227,1.92275,1.92154,1.92162,524,28,0,15m,2024-07-16 06:30:00.000
GBPAUDm,2024-07-16 06:45:00+00:00,1.92161,1.92211,1.92102,1.92153,533,28,0,15m,2024-07-16 06:45:00.000
