symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
NZDUSDm,2024-07-16 01:45:00+00:00,0.60615,0.60619,0.60599,0.60617,219,20,0,15m,2024-07-16 01:45:00.000
NZDUSDm,2024-07-16 02:00:00+00:00,0.60617,0.60625,0.60587,0.60587,189,20,0,15m,2024-07-16 02:00:00.000
NZDUSDm,2024-07-16 02:15:00+00:00,0.60588,0.60593,0.60549,0.6055,186,20,0,15m,2024-07-16 02:15:00.000
NZDUSDm,2024-07-16 02:30:00+00:00,0.60551,0.60557,0.60511,0.60539,223,20,0,15m,2024-07-16 02:30:00.000
NZDUSDm,2024-07-16 02:45:00+00:00,0.60539,0.60567,0.60539,0.60555,169,20,0,15m,2024-07-16 02:45:00.000
NZDUSDm,2024-07-16 03:00:00+00:00,0.60554,0.60583,0.60551,0.60582,184,20,0,15m,2024-07-16 03:00:00.000
NZDUSDm,2024-07-16 03:15:00+00:00,0.60582,0.6059,0.60576,0.60586,147,20,0,15m,2024-07-16 03:15:00.000
NZDUSDm,2024-07-16 03:30:00+00:00,0.60586,0.60588,0.60565,0.6058,129,20,0,15m,2024-07-16 03:30:00.000
NZDUSDm,2024-07-16 03:45:00+00:00,0.6058,0.60586,0.60568,0.60574,92,20,0,15m,2024-07-16 03:45:00.000
NZDUSDm,2024-07-16 04:00:00+00:00,0.60574,0.60589,0.60573,0.60583,102,20,0,15m,2024-07-16 04:00:00.000
NZDUSDm,2024-07-16 04:15:00+00:00,0.60584,0.60588,0.6056,0.60561,105,20,0,15m,2024-07-16 04:15:00.000
NZDUSDm,2024-07-16 04:30:00+00:00,0.6056,0.6057,0.6055,0.60567,118,20,0,15m,2024-07-16 04:30:00.000
NZDUSDm,2024-07-16 04:45:00+00:00,0.60567,0.60567,0.60527,0.60529,127,20,0,15m,2024-07-16 04:45:00.000
NZDUSDm,2024-07-16 05:00:00+00:00,0.60529,0.6053,0.60499,0.60505,139,20,0,15m,2024-07-16 05:00:00.000
NZDUSDm,2024-07-16 05:15:00+00:00,0.60504,0.60508,0.60472,0.60479,161,20,0,15m,2024-07-16 05:15:00.000
NZDUSDm,2024-07-16 05:30:00+00:00,0.6048,0.60505,0.60475,0.60499,168,20,0,15m,2024-07-16 05:30:00.000
NZDUSDm,2024-07-16 05:45:00+00:00,0.60499,0.60505,0.60486,0.605,181,20,0,15m,2024-07-16 05:45:00.000
NZDUSDm,2024-07-16 06:00:00+00:00,0.605,0.60501,0.60475,0.60485,254,20,0,15m,2024-07-16 06:00:00.000
NZDUSDm,2024-07-16 06:15:00+00:00,0.60485,0.60539,0.60484,0.60533,233,20,0,15m,2024-07-16 06:15:00.000
NZDUSDm,2024-07-16 06:30:00+00:00,0.60533,0.6056,0.60522,0.60547,219,20,0,15m,2024-07-16 06:30:00.000
