symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
XAGUSDm,2024-07-15 14:45:00+00:00,30.837,31.004,30.836,31.001,597,47,0,15m,2024-07-15 14:45:00.000
XAGUSDm,2024-07-15 15:00:00+00:00,31.003,31.066,30.975,30.978,626,47,0,15m,2024-07-15 15:00:00.000
XAGUSDm,2024-07-15 15:15:00+00:00,30.975,30.998,30.923,30.963,558,47,0,15m,2024-07-15 15:15:00.000
XAGUSDm,2024-07-15 15:30:00+00:00,30.961,30.961,30.885,30.933,524,47,0,15m,2024-07-15 15:30:00.000
XAGUSDm,2024-07-15 15:45:00+00:00,30.932,30.945,30.902,30.929,445,47,0,15m,2024-07-15 15:45:00.000
XAGUSDm,2024-07-15 16:00:00+00:00,30.928,30.959,30.87,30.884,383,47,0,15m,2024-07-15 16:00:00.000
XAGUSDm,2024-07-15 16:15:00+00:00,30.883,30.909,30.852,30.893,397,47,0,15m,2024-07-15 16:15:00.000
XAGUSDm,2024-07-15 16:30:00+00:00,30.893,31.072,30.863,30.863,481,47,0,15m,2024-07-15 16:30:00.000
XAGUSDm,2024-07-15 16:45:00+00:00,30.864,30.891,30.811,30.816,600,47,0,15m,2024-07-15 16:45:00.000
XAGUSDm,2024-07-15 17:00:00+00:00,30.815,30.815,30.69,30.713,570,47,0,15m,2024-07-15 17:00:00.000
XAGUSDm,2024-07-15 17:15:00+00:00,30.715,30.719,30.648,30.674,483,47,0,15m,2024-07-15 17:15:00.000
XAGUSDm,2024-07-15 17:30:00+00:00,30.665,30.665,30.595,30.658,491,47,0,15m,2024-07-15 17:30:00.000
XAGUSDm,2024-07-15 17:45:00+00:00,30.657,30.674,30.638,30.654,366,47,0,15m,2024-07-15 17:45:00.000
XAGUSDm,2024-07-15 18:00:00+00:00,30.66,30.662,30.604,30.659,300,47,0,15m,2024-07-15 18:00:00.000
XAGUSDm,2024-07-15 18:15:00+00:00,30.658,30.683,30.644,30.679,283,47,0,15m,2024-07-15 18:15:00.000
XAGUSDm,2024-07-15 18:30:00+00:00,30.679,30.719,30.652,30.714,205,47,0,15m,2024-07-15 18:30:00.000
XAGUSDm,2024-07-15 18:45:00+00:00,30.714,30.717,30.678,30.679,189,47,0,15m,2024-07-15 18:45:00.000
XAGUSDm,2024-07-15 19:00:00+00:00,30.678,30.678,30.638,30.658,202,47,0,15m,2024-07-15 19:00:00.000
XAGUSDm,2024-07-15 19:15:00+00:00,30.658,30.679,30.641,30.646,210,47,0,15m,2024-07-15 19:15:00.000
XAGUSDm,2024-07-15 19:30:00+00:00,30.646,30.683,30.646,30.669,170,47,0,15m,2024-07-15 19:30:00.000
XAGUSDm,2024-07-15 19:45:00+00:00,30.669,30.673,30.651,30.662,225,47,0,15m,2024-07-15 19:45:00.000
XAGUSDm,2024-07-15 20:00:00+00:00,30.663,30.678,30.663,30.675,95,47,0,15m,2024-07-15 20:00:00.000
XAGUSDm,2024-07-15 20:15:00+00:00,30.675,30.676,30.659,30.661,74,47,0,15m,2024-07-15 20:15:00.000
XAGUSDm,2024-07-15 20:30:00+00:00,30.66,30.664,30.648,30.654,57,47,0,15m,2024-07-15 20:30:00.000
XAGUSDm,2024-07-15 20:45:00+00:00,30.652,30.659,30.643,30.654,70,47,0,15m,2024-07-15 20:45:00.000
XAGUSDm,2024-07-15 22:00:00+00:00,30.65,30.65,30.625,30.625,80,47,0,15m,2024-07-15 22:00:00.000
XAGUSDm,2024-07-15 22:15:00+00:00,30.625,30.64,30.623,30.63,71,47,0,15m,2024-07-15 22:15:00.000
XAGUSDm,2024-07-15 22:30:00+00:00,30.63,30.634,30.594,30.595,61,47,0,15m,2024-07-15 22:30:00.000
XAGUSDm,2024-07-15 22:45:00+00:00,30.594,30.611,30.589,30.6,63,47,0,15m,2024-07-15 22:45:00.000
XAGUSDm,2024-07-15 23:00:00+00:00,30.6,30.614,30.593,30.61,49,47,0,15m,2024-07-15 23:00:00.000
XAGUSDm,2024-07-15 23:15:00+00:00,30.61,30.628,30.61,30.623,80,47,0,15m,2024-07-15 23:15:00.000
XAGUSDm,2024-07-15 23:30:00+00:00,30.623,30.624,30.589,30.59,79,47,0,15m,2024-07-15 23:30:00.000
XAGUSDm,2024-07-15 23:45:00+00:00,30.59,30.602,30.577,30.599,104,47,0,15m,2024-07-15 23:45:00.000
XAGUSDm,2024-07-16 00:00:00+00:00,30.595,30.597,30.554,30.593,187,47,0,15m,2024-07-16 00:00:00.000
XAGUSDm,2024-07-16 00:15:00+00:00,30.59,30.603,30.563,30.577,153,47,0,15m,2024-07-16 00:15:00.000
XAGUSDm,2024-07-16 00:30:00+00:00,30.577,30.587,30.539,30.541,160,47,0,15m,2024-07-16 00:30:00.000
