symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
BTCUSDm,2021-11-17 00:00:00+00:00,60017.13,60832.4,58304.01,60307.59,108724,2658,0,1d,2021-11-17 00:00:00.000
BTCUSDm,2021-11-18 00:00:00+00:00,60305.91,60943.31,56444.38,56841.28,112220,2391,0,1d,2021-11-18 00:00:00.000
BTCUSDm,2021-11-19 00:00:00+00:00,56850.32,58363.8,55542.11,58048.02,104627,2835,0,1d,2021-11-19 00:00:00.000
BTCUSDm,2021-11-20 00:00:00+00:00,58048.16,59899.99,57308.92,59687.08,95324,1270,0,1d,2021-11-20 00:00:00.000
BTCUSDm,2021-11-21 00:00:00+00:00,59682.71,60037.49,58443.21,58621.79,97873,1211,0,1d,2021-11-21 00:00:00.000
BTCUSDm,2021-11-22 00:00:00+00:00,58619.33,59377.87,55582.16,56224.75,109522,3325,0,1d,2021-11-22 00:00:00.000
BTCUSDm,2021-11-23 00:00:00+00:00,56226.52,57860.2,55198.54,57523.41,108281,2564,0,1d,2021-11-23 00:00:00.000
BTCUSDm,2021-11-24 00:00:00+00:00,57530.17,57697.73,55757.67,57090.67,102204,2491,0,1d,2021-11-24 00:00:00.000
BTCUSDm,2021-11-25 00:00:00+00:00,57096.07,59456.98,56917.03,58975.74,96043,392,0,1d,2021-11-25 00:00:00.000
BTCUSDm,2021-11-26 00:00:00+00:00,58977.09,59193.75,53449.48,53704.36,108271,2414,0,1d,2021-11-26 00:00:00.000
BTCUSDm,2021-11-27 00:00:00+00:00,53722.99,55261.43,53565.58,54724.82,96378,3728,0,1d,2021-11-27 00:00:00.000
BTCUSDm,2021-11-28 00:00:00+00:00,54720.64,57471.62,53244.19,57307.65,98608,1276,0,1d,2021-11-28 00:00:00.000
BTCUSDm,2021-11-29 00:00:00+00:00,57294.28,58874.22,56679.12,57808.24,98052,3109,0,1d,2021-11-29 00:00:00.000
BTCUSDm,2021-11-30 00:00:00+00:00,57808.51,59227.81,55810.86,56948.16,112507,1482,0,1d,2021-11-30 00:00:00.000
BTCUSDm,2021-12-01 00:00:00+00:00,56953.44,59072.57,56368.5,57222.72,102735,1472,0,1d,2021-12-01 00:00:00.000
BTCUSDm,2021-12-02 00:00:00+00:00,57224.38,57394.25,55734.18,56489.4,103723,2350,0,1d,2021-12-02 00:00:00.000
BTCUSDm,2021-12-03 00:00:00+00:00,56489.38,57632.88,51621.87,53621.15,109113,2140,0,1d,2021-12-03 00:00:00.000
BTCUSDm,2021-12-04 00:00:00+00:00,53609.3,53855.05,41938.16,49228.4,130052,1915,0,1d,2021-12-04 00:00:00.000
BTCUSDm,2021-12-05 00:00:00+00:00,49217.49,49732.67,47817.14,49429.69,108860,1167,0,1d,2021-12-05 00:00:00.000
BTCUSDm,2021-12-06 00:00:00+00:00,49437.33,50968.03,47139.61,50518.99,119112,225,0,1d,2021-12-06 00:00:00.000
BTCUSDm,2021-12-07 00:00:00+00:00,50513.64,51945.36,50017.6,50583.74,104948,3364,0,1d,2021-12-07 00:00:00.000
BTCUSDm,2021-12-08 00:00:00+00:00,50588.62,51199.02,48561.49,50474.07,106205,2106,0,1d,2021-12-08 00:00:00.000
BTCUSDm,2021-12-09 00:00:00+00:00,50475.51,50818.23,47278.95,47507.29,112750,2190,0,1d,2021-12-09 00:00:00.000
BTCUSDm,2021-12-10 00:00:00+00:00,47507.22,50090.8,46842.5,47113.74,113535,2351,0,1d,2021-12-10 00:00:00.000
BTCUSDm,2021-12-11 00:00:00+00:00,47115.52,49499.28,46692.12,49366.88,104745,2189,0,1d,2021-12-11 00:00:00.000
BTCUSDm,2021-12-12 00:00:00+00:00,49374.14,50762.53,48644.55,50051.73,98662,1944,0,1d,2021-12-12 00:00:00.000
BTCUSDm,2021-12-13 00:00:00+00:00,50031.07,50183.93,45656.87,46684.63,110294,2026,0,1d,2021-12-13 00:00:00.000
BTCUSDm,2021-12-14 00:00:00+00:00,46685.53,48660.27,46227.48,48352.32,106983,2273,0,1d,2021-12-14 00:00:00.000
BTCUSDm,2021-12-15 00:00:00+00:00,48349.33,49497.62,46454.6,48876.36,106962,1957,0,1d,2021-12-15 00:00:00.000
BTCUSDm,2021-12-16 00:00:00+00:00,48878.43,49428.45,47500.25,47624.88,98687,2416,0,1d,2021-12-16 00:00:00.000
BTCUSDm,2021-12-17 00:00:00+00:00,47627.78,48008.52,45380.59,46094.65,104463,2084,0,1d,2021-12-17 00:00:00.000
BTCUSDm,2021-12-18 00:00:00+00:00,46102.75,47379.05,45409.85,46827.31,99279,1716,0,1d,2021-12-18 00:00:00.000
