symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
XAUUSDm,2021-05-25 00:00:00+00:00,1877.323,1900.177,1872.613,1898.083,83458,0,0,1d,2021-05-25 00:00:00.000
XAUUSDm,2021-05-26 00:00:00+00:00,1898.082,1912.616,1890.655,1896.06,82960,0,0,1d,2021-05-26 00:00:00.000
XAUUSDm,2021-05-27 00:00:00+00:00,1896.07,1903.58,1888.111,1897.969,81191,0,0,1d,2021-05-27 00:00:00.000
XAUUSDm,2021-05-28 00:00:00+00:00,1897.992,1905.947,1882.063,1903.706,78392,0,0,1d,2021-05-28 00:00:00.000
XAUUSDm,2021-05-30 00:00:00+00:00,1903.805,1904.75,1903.214,1903.798,2406,0,0,1d,2021-05-30 00:00:00.000
XAUUSDm,2021-05-31 00:00:00+00:00,1903.845,1910.544,1902.063,1907.978,49655,0,0,1d,2021-05-31 00:00:00.000
XAUUSDm,2021-06-01 00:00:00+00:00,1907.987,1916.446,1892.35,1898.747,79722,0,0,1d,2021-06-01 00:00:00.000
XAUUSDm,2021-06-02 00:00:00+00:00,1898.751,1909.474,1894.25,1907.752,71266,0,0,1d,2021-06-02 00:00:00.000
XAUUSDm,2021-06-03 00:00:00+00:00,1907.756,1909.463,1863.442,1870.865,89483,0,0,1d,2021-06-03 00:00:00.000
XAUUSDm,2021-06-04 00:00:00+00:00,1870.856,1896.047,1855.573,1891.138,78059,0,0,1d,2021-06-04 00:00:00.000
XAUUSDm,2021-06-06 00:00:00+00:00,1889.994,1890.631,1888.646,1889.265,2273,0,0,1d,2021-06-06 00:00:00.000
XAUUSDm,2021-06-07 00:00:00+00:00,1889.246,1900.028,1881.455,1898.633,70994,0,0,1d,2021-06-07 00:00:00.000
XAUUSDm,2021-06-08 00:00:00+00:00,1898.622,1903.673,1883.74,1893.327,75702,0,0,1d,2021-06-08 00:00:00.000
XAUUSDm,2021-06-09 00:00:00+00:00,1893.315,1898.912,1887.254,1888.618,68330,0,0,1d,2021-06-09 00:00:00.000
XAUUSDm,2021-06-10 00:00:00+00:00,1888.632,1899.808,1869.9,1898.318,87366,0,0,1d,2021-06-10 00:00:00.000
XAUUSDm,2021-06-11 00:00:00+00:00,1898.294,1902.856,1874.321,1877.401,75423,0,0,1d,2021-06-11 00:00:00.000
XAUUSDm,2021-06-13 00:00:00+00:00,1876.16,1877.608,1873.194,1873.652,3778,0,0,1d,2021-06-13 00:00:00.000
XAUUSDm,2021-06-14 00:00:00+00:00,1873.604,1873.737,1844.212,1866.768,80940,0,0,1d,2021-06-14 00:00:00.000
XAUUSDm,2021-06-15 00:00:00+00:00,1866.757,1869.046,1851.529,1857.846,77562,0,0,1d,2021-06-15 00:00:00.000
