symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
BTCUSDm,2024-07-01 14:00:00+00:00,62600.79,62919.93,62547.98,62788.75,9105,3210,0,1h,2024-07-01 14:00:00.000
BTCUSDm,2024-07-01 15:00:00+00:00,62784.27,63110.28,62761.68,63096.65,6317,3202,0,1h,2024-07-01 15:00:00.000
BTCUSDm,2024-07-01 16:00:00+00:00,63097.9,63301.12,62920.56,63080.3,6352,3150,0,1h,2024-07-01 16:00:00.000
BTCUSDm,2024-07-01 17:00:00+00:00,63081.84,63648.35,63031.68,63640.47,6494,3120,0,1h,2024-07-01 17:00:00.000
BTCUSDm,2024-07-01 18:00:00+00:00,63638.14,63844.82,63386.12,63606.49,6665,2912,0,1h,2024-07-01 18:00:00.000
BTCUSDm,2024-07-01 19:00:00+00:00,63607.9,63612.23,63015.48,63163.54,7223,2912,0,1h,2024-07-01 19:00:00.000
BTCUSDm,2024-07-01 20:00:00+00:00,63164.47,63390.48,63107.47,63244.98,5287,3067,0,1h,2024-07-01 20:00:00.000
BTCUSDm,2024-07-01 21:00:00+00:00,63247.69,63261.77,62982.32,63087.09,4171,3032,0,1h,2024-07-01 21:00:00.000
BTCUSDm,2024-07-01 22:00:00+00:00,63085.62,63133.99,62772.75,62945.66,4886,2977,0,1h,2024-07-01 22:00:00.000
BTCUSDm,2024-07-01 23:00:00+00:00,62947.88,63016.58,62789.15,62857.52,4296,3031,0,1h,2024-07-01 23:00:00.000
BTCUSDm,2024-07-02 00:00:00+00:00,62852.81,62958.09,62722.07,62890.69,4749,3018,0,1h,2024-07-02 00:00:00.000
BTCUSDm,2024-07-02 01:00:00+00:00,62892.52,62939.94,62777.84,62883.25,4480,3125,0,1h,2024-07-02 01:00:00.000
BTCUSDm,2024-07-02 02:00:00+00:00,62883.25,63080.66,62875.97,62961.53,4415,3126,0,1h,2024-07-02 02:00:00.000
BTCUSDm,2024-07-02 03:00:00+00:00,62957.24,63245.01,62931.04,63070.29,5238,3166,0,1h,2024-07-02 03:00:00.000
BTCUSDm,2024-07-02 04:00:00+00:00,63071.64,63191.9,62962.68,62962.82,4577,3168,0,1h,2024-07-02 04:00:00.000
BTCUSDm,2024-07-02 05:00:00+00:00,62960.3,63044.08,62919.1,62942.25,4472,3128,0,1h,2024-07-02 05:00:00.000
BTCUSDm,2024-07-02 06:00:00+00:00,62944.02,63002.64,62776.26,62831.83,4735,3164,0,1h,2024-07-02 06:00:00.000
BTCUSDm,2024-07-02 07:00:00+00:00,62828.85,62845.16,62502.02,62551.1,5201,3146,0,1h,2024-07-02 07:00:00.000
BTCUSDm,2024-07-02 08:00:00+00:00,62549.39,62713.57,62341.05,62607.17,5323,3236,0,1h,2024-07-02 08:00:00.000
BTCUSDm,2024-07-02 09:00:00+00:00,62606.49,62749.89,62538.25,62581.16,4699,3240,0,1h,2024-07-02 09:00:00.000
BTCUSDm,2024-07-02 10:00:00+00:00,62581.43,62741.79,62394.93,62648.16,4678,3237,0,1h,2024-07-02 10:00:00.000
BTCUSDm,2024-07-02 11:00:00+00:00,62652.24,62815.26,62519.62,62778.2,5138,3241,0,1h,2024-07-02 11:00:00.000
BTCUSDm,2024-07-02 12:00:00+00:00,62776.26,62992.06,62661.18,62819.34,5556,3242,0,1h,2024-07-02 12:00:00.000
BTCUSDm,2024-07-02 13:00:00+00:00,62821.0,63095.52,62495.39,62582.44,7556,3240,0,1h,2024-07-02 13:00:00.000
BTCUSDm,2024-07-02 14:00:00+00:00,62581.89,62693.75,61788.33,61989.65,8941,3226,0,1h,2024-07-02 14:00:00.000
BTCUSDm,2024-07-02 15:00:00+00:00,61984.35,62116.71,61767.19,61879.88,7162,3225,0,1h,2024-07-02 15:00:00.000
BTCUSDm,2024-07-02 16:00:00+00:00,61878.76,61988.71,61726.0,61860.99,6200,3224,0,1h,2024-07-02 16:00:00.000
BTCUSDm,2024-07-02 17:00:00+00:00,61860.95,62103.38,61811.29,62076.58,5355,3226,0,1h,2024-07-02 17:00:00.000
BTCUSDm,2024-07-02 18:00:00+00:00,62078.46,62318.68,62049.66,62257.45,5351,3230,0,1h,2024-07-02 18:00:00.000
BTCUSDm,2024-07-02 19:00:00+00:00,62260.41,62311.87,61789.05,61860.15,5728,3225,0,1h,2024-07-02 19:00:00.000
BTCUSDm,2024-07-02 20:00:00+00:00,61864.2,62041.81,61770.58,61929.28,5019,3225,0,1h,2024-07-02 20:00:00.000
