symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
AUDUSDm,2024-07-05 01:00:00+00:00,0.6732,0.67371,0.67303,0.67314,598,14,0,30m,2024-07-05 01:00:00.000
AUDUSDm,2024-07-05 01:30:00+00:00,0.67314,0.67368,0.67307,0.67353,556,14,0,30m,2024-07-05 01:30:00.000
AUDUSDm,2024-07-05 02:00:00+00:00,0.67353,0.6738,0.67331,0.67376,458,14,0,30m,2024-07-05 02:00:00.000
AUDUSDm,2024-07-05 02:30:00+00:00,0.67376,0.67376,0.6734,0.67347,358,14,0,30m,2024-07-05 02:30:00.000
AUDUSDm,2024-07-05 03:00:00+00:00,0.67345,0.67367,0.67332,0.67355,482,14,0,30m,2024-07-05 03:00:00.000
AUDUSDm,2024-07-05 03:30:00+00:00,0.67355,0.67373,0.67321,0.67361,413,14,0,30m,2024-07-05 03:30:00.000
AUDUSDm,2024-07-05 04:00:00+00:00,0.67361,0.67372,0.67333,0.67363,364,14,0,30m,2024-07-05 04:00:00.000
AUDUSDm,2024-07-05 04:30:00+00:00,0.67361,0.67363,0.67327,0.67334,293,14,0,30m,2024-07-05 04:30:00.000
AUDUSDm,2024-07-05 05:00:00+00:00,0.67333,0.67335,0.67276,0.6728,327,14,0,30m,2024-07-05 05:00:00.000
AUDUSDm,2024-07-05 05:30:00+00:00,0.6728,0.67345,0.6728,0.67332,398,14,0,30m,2024-07-05 05:30:00.000
AUDUSDm,2024-07-05 06:00:00+00:00,0.67332,0.67358,0.67306,0.67309,474,14,0,30m,2024-07-05 06:00:00.000
AUDUSDm,2024-07-05 06:30:00+00:00,0.6731,0.67322,0.67265,0.67286,436,14,0,30m,2024-07-05 06:30:00.000
AUDUSDm,2024-07-05 07:00:00+00:00,0.67288,0.67333,0.67278,0.67301,502,14,0,30m,2024-07-05 07:00:00.000
AUDUSDm,2024-07-05 07:30:00+00:00,0.67301,0.67351,0.67299,0.67323,435,14,0,30m,2024-07-05 07:30:00.000
AUDUSDm,2024-07-05 08:00:00+00:00,0.67324,0.67338,0.67295,0.67326,512,14,0,30m,2024-07-05 08:00:00.000
AUDUSDm,2024-07-05 08:30:00+00:00,0.67326,0.67354,0.67326,0.67345,383,14,0,30m,2024-07-05 08:30:00.000
AUDUSDm,2024-07-05 09:00:00+00:00,0.67346,0.67352,0.67323,0.67327,365,14,0,30m,2024-07-05 09:00:00.000
AUDUSDm,2024-07-05 09:30:00+00:00,0.67327,0.6736,0.67308,0.67352,366,14,0,30m,2024-07-05 09:30:00.000
AUDUSDm,2024-07-05 10:00:00+00:00,0.67349,0.67371,0.67331,0.67337,373,14,0,30m,2024-07-05 10:00:00.000
AUDUSDm,2024-07-05 10:30:00+00:00,0.67336,0.67353,0.67328,0.67353,411,14,0,30m,2024-07-05 10:30:00.000
AUDUSDm,2024-07-05 11:00:00+00:00,0.67353,0.67363,0.67318,0.6733,393,14,0,30m,2024-07-05 11:00:00.000
AUDUSDm,2024-07-05 11:30:00+00:00,0.6733,0.67333,0.67309,0.67321,360,14,0,30m,2024-07-05 11:30:00.000
AUDUSDm,2024-07-05 12:00:00+00:00,0.67319,0.67396,0.67307,0.67381,626,14,0,30m,2024-07-05 12:00:00.000
AUDUSDm,2024-07-05 12:30:00+00:00,0.67386,0.6752,0.67104,0.67352,3084,14,0,30m,2024-07-05 12:30:00.000
AUDUSDm,2024-07-05 13:00:00+00:00,0.6735,0.67464,0.6732,0.67452,1566,14,0,30m,2024-07-05 13:00:00.000
AUDUSDm,2024-07-05 13:30:00+00:00,0.67455,0.67465,0.67219,0.67298,1483,14,0,30m,2024-07-05 13:30:00.000
AUDUSDm,2024-07-05 14:00:00+00:00,0.67297,0.67297,0.67181,0.67226,1516,14,0,30m,2024-07-05 14:00:00.000
AUDUSDm,2024-07-05 14:30:00+00:00,0.67227,0.67385,0.67222,0.67362,1252,14,0,30m,2024-07-05 14:30:00.000
