symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
EURUSDm,2024-07-05 01:00:00+00:00,1.0814,1.08176,1.08134,1.08154,436,10,0,30m,2024-07-05 01:00:00.000
EURUSDm,2024-07-05 01:30:00+00:00,1.08154,1.0817,1.08134,1.08155,444,10,0,30m,2024-07-05 01:30:00.000
EURUSDm,2024-07-05 02:00:00+00:00,1.08155,1.08171,1.08136,1.08169,337,10,0,30m,2024-07-05 02:00:00.000
EURUSDm,2024-07-05 02:30:00+00:00,1.08168,1.08177,1.08153,1.08176,315,10,0,30m,2024-07-05 02:30:00.000
EURUSDm,2024-07-05 03:00:00+00:00,1.08175,1.08238,1.08171,1.08235,564,10,0,30m,2024-07-05 03:00:00.000
EURUSDm,2024-07-05 03:30:00+00:00,1.08235,1.0824,1.08197,1.08215,396,10,0,30m,2024-07-05 03:30:00.000
EURUSDm,2024-07-05 04:00:00+00:00,1.08215,1.08215,1.08193,1.08205,374,10,0,30m,2024-07-05 04:00:00.000
EURUSDm,2024-07-05 04:30:00+00:00,1.08205,1.08222,1.08197,1.08217,322,10,0,30m,2024-07-05 04:30:00.000
EURUSDm,2024-07-05 05:00:00+00:00,1.08217,1.08217,1.08186,1.08192,330,10,0,30m,2024-07-05 05:00:00.000
EURUSDm,2024-07-05 05:30:00+00:00,1.08192,1.08221,1.08188,1.08211,327,10,0,30m,2024-07-05 05:30:00.000
EURUSDm,2024-07-05 06:00:00+00:00,1.08211,1.08235,1.08201,1.08216,669,10,0,30m,2024-07-05 06:00:00.000
EURUSDm,2024-07-05 06:30:00+00:00,1.08218,1.08254,1.08182,1.0819,728,10,0,30m,2024-07-05 06:30:00.000
EURUSDm,2024-07-05 07:00:00+00:00,1.0819,1.08248,1.0816,1.08231,1049,10,0,30m,2024-07-05 07:00:00.000
EURUSDm,2024-07-05 07:30:00+00:00,1.08231,1.08298,1.08211,1.08288,870,10,0,30m,2024-07-05 07:30:00.000
EURUSDm,2024-07-05 08:00:00+00:00,1.08286,1.08286,1.08223,1.08258,956,10,0,30m,2024-07-05 08:00:00.000
EURUSDm,2024-07-05 08:30:00+00:00,1.08258,1.08302,1.08246,1.08276,589,10,0,30m,2024-07-05 08:30:00.000
EURUSDm,2024-07-05 09:00:00+00:00,1.08276,1.08304,1.08257,1.08267,640,10,0,30m,2024-07-05 09:00:00.000
EURUSDm,2024-07-05 09:30:00+00:00,1.08266,1.08295,1.08251,1.08262,633,10,0,30m,2024-07-05 09:30:00.000
EURUSDm,2024-07-05 10:00:00+00:00,1.08261,1.08313,1.08236,1.08253,656,10,0,30m,2024-07-05 10:00:00.000
EURUSDm,2024-07-05 10:30:00+00:00,1.08253,1.08264,1.08217,1.08241,662,10,0,30m,2024-07-05 10:30:00.000
EURUSDm,2024-07-05 11:00:00+00:00,1.08242,1.0825,1.08198,1.08215,636,10,0,30m,2024-07-05 11:00:00.000
EURUSDm,2024-07-05 11:30:00+00:00,1.08216,1.08224,1.08181,1.08186,621,10,0,30m,2024-07-05 11:30:00.000
