symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
GBPCHFm,2024-07-01 15:30:00+00:00,1.14226,1.14303,1.14215,1.14302,769,27,0,30m,2024-07-01 15:30:00.000
GBPCHFm,2024-07-01 16:00:00+00:00,1.14302,1.14363,1.14273,1.14332,601,27,0,30m,2024-07-01 16:00:00.000
GBPCHFm,2024-07-01 16:30:00+00:00,1.14332,1.14344,1.14248,1.14271,548,27,0,30m,2024-07-01 16:30:00.000
GBPCHFm,2024-07-01 17:00:00+00:00,1.14271,1.1429,1.14248,1.14271,393,27,0,30m,2024-07-01 17:00:00.000
GBPCHFm,2024-07-01 17:30:00+00:00,1.1427,1.1428,1.14239,1.14239,349,27,0,30m,2024-07-01 17:30:00.000
GBPCHFm,2024-07-01 18:00:00+00:00,1.14239,1.14241,1.14173,1.14183,429,27,0,30m,2024-07-01 18:00:00.000
GBPCHFm,2024-07-01 18:30:00+00:00,1.14183,1.14211,1.14164,1.14203,391,27,0,30m,2024-07-01 18:30:00.000
GBPCHFm,2024-07-01 19:00:00+00:00,1.14203,1.14226,1.14192,1.14195,403,27,0,30m,2024-07-01 19:00:00.000
GBPCHFm,2024-07-01 19:30:00+00:00,1.14195,1.14221,1.14166,1.14166,383,27,0,30m,2024-07-01 19:30:00.000
GBPCHFm,2024-07-01 20:00:00+00:00,1.14163,1.14199,1.14156,1.14183,257,27,0,30m,2024-07-01 20:00:00.000
GBPCHFm,2024-07-01 20:30:00+00:00,1.14183,1.14216,1.1417,1.14176,252,27,0,30m,2024-07-01 20:30:00.000
GBPCHFm,2024-07-01 21:00:00+00:00,1.14177,1.14187,1.14154,1.14172,396,54,0,30m,2024-07-01 21:00:00.000
GBPCHFm,2024-07-01 21:30:00+00:00,1.14171,1.14186,1.14112,1.14117,444,36,0,30m,2024-07-01 21:30:00.000
GBPCHFm,2024-07-01 22:00:00+00:00,1.14156,1.1419,1.14115,1.14176,205,66,0,30m,2024-07-01 22:00:00.000
GBPCHFm,2024-07-01 22:30:00+00:00,1.14176,1.14189,1.14145,1.14179,158,66,0,30m,2024-07-01 22:30:00.000
GBPCHFm,2024-07-01 23:00:00+00:00,1.14199,1.142,1.14179,1.14195,141,27,0,30m,2024-07-01 23:00:00.000
GBPCHFm,2024-07-01 23:30:00+00:00,1.14195,1.14205,1.14186,1.14205,147,27,0,30m,2024-07-01 23:30:00.000
GBPCHFm,2024-07-02 00:00:00+00:00,1.14205,1.14224,1.14197,1.14198,366,27,0,30m,2024-07-02 00:00:00.000
GBPCHFm,2024-07-02 00:30:00+00:00,1.14198,1.142,1.14174,1.14179,370,27,0,30m,2024-07-02 00:30:00.000
GBPCHFm,2024-07-02 01:00:00+00:00,1.14179,1.14183,1.14145,1.14167,350,27,0,30m,2024-07-02 01:00:00.000
GBPCHFm,2024-07-02 01:30:00+00:00,1.14167,1.14204,1.14166,1.14188,303,27,0,30m,2024-07-02 01:30:00.000
GBPCHFm,2024-07-02 02:00:00+00:00,1.14188,1.14201,1.14181,1.14189,232,27,0,30m,2024-07-02 02:00:00.000
