symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
USDCHFm,2024-07-01 15:30:00+00:00,0.9039,0.90425,0.90363,0.90383,595,14,0,30m,2024-07-01 15:30:00.000
USDCHFm,2024-07-01 16:00:00+00:00,0.90383,0.90394,0.90351,0.9037,502,14,0,30m,2024-07-01 16:00:00.000
USDCHFm,2024-07-01 16:30:00+00:00,0.9037,0.90376,0.90333,0.90346,437,14,0,30m,2024-07-01 16:30:00.000
USDCHFm,2024-07-01 17:00:00+00:00,0.90346,0.90373,0.90343,0.90352,350,14,0,30m,2024-07-01 17:00:00.000
USDCHFm,2024-07-01 17:30:00+00:00,0.90353,0.90385,0.9035,0.9038,276,14,0,30m,2024-07-01 17:30:00.000
USDCHFm,2024-07-01 18:00:00+00:00,0.9038,0.90396,0.90369,0.90374,344,14,0,30m,2024-07-01 18:00:00.000
USDCHFm,2024-07-01 18:30:00+00:00,0.90374,0.90376,0.90331,0.90348,362,14,0,30m,2024-07-01 18:30:00.000
USDCHFm,2024-07-01 19:00:00+00:00,0.90347,0.90349,0.90324,0.90333,342,14,0,30m,2024-07-01 19:00:00.000
USDCHFm,2024-07-01 19:30:00+00:00,0.90332,0.90339,0.90299,0.90299,286,14,0,30m,2024-07-01 19:30:00.000
USDCHFm,2024-07-01 20:00:00+00:00,0.90299,0.90316,0.90283,0.90287,206,14,0,30m,2024-07-01 20:00:00.000
USDCHFm,2024-07-01 20:30:00+00:00,0.90287,0.90288,0.90268,0.90269,164,10,0,30m,2024-07-01 20:30:00.000
USDCHFm,2024-07-01 21:00:00+00:00,0.90271,0.90272,0.90256,0.90267,269,20,0,30m,2024-07-01 21:00:00.000
USDCHFm,2024-07-01 21:30:00+00:00,0.90268,0.90275,0.90251,0.90273,509,18,0,30m,2024-07-01 21:30:00.000
USDCHFm,2024-07-01 22:00:00+00:00,0.90274,0.90299,0.90248,0.90296,197,14,0,30m,2024-07-01 22:00:00.000
USDCHFm,2024-07-01 22:30:00+00:00,0.90296,0.9031,0.9029,0.90308,112,14,0,30m,2024-07-01 22:30:00.000
USDCHFm,2024-07-01 23:00:00+00:00,0.90308,0.90318,0.90302,0.90309,134,14,0,30m,2024-07-01 23:00:00.000
USDCHFm,2024-07-01 23:30:00+00:00,0.90309,0.90322,0.90304,0.9032,149,14,0,30m,2024-07-01 23:30:00.000
