symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
XAUUSDm,2024-07-11 11:30:00+00:00,2381.749,2383.369,2378.999,2380.794,2264,199,0,30m,2024-07-11 11:30:00.000
XAUUSDm,2024-07-11 12:00:00+00:00,2380.752,2382.498,2378.318,2378.975,3104,199,0,30m,2024-07-11 12:00:00.000
XAUUSDm,2024-07-11 12:30:00+00:00,2378.108,2409.781,2378.108,2406.309,16805,199,0,30m,2024-07-11 12:30:00.000
XAUUSDm,2024-07-11 13:00:00+00:00,2406.259,2413.023,2402.879,2408.351,12809,199,0,30m,2024-07-11 13:00:00.000
XAUUSDm,2024-07-11 13:30:00+00:00,2408.393,2409.289,2395.803,2406.613,14010,199,0,30m,2024-07-11 13:30:00.000
XAUUSDm,2024-07-11 14:00:00+00:00,2406.675,2411.888,2406.606,2407.294,8565,199,0,30m,2024-07-11 14:00:00.000
XAUUSDm,2024-07-11 14:30:00+00:00,2407.26,2417.863,2404.321,2417.62,6859,199,0,30m,2024-07-11 14:30:00.000
XAUUSDm,2024-07-11 15:00:00+00:00,2417.673,2423.958,2412.448,2420.457,6965,199,0,30m,2024-07-11 15:00:00.000
XAUUSDm,2024-07-11 15:30:00+00:00,2420.461,2424.538,2417.145,2417.353,5350,199,0,30m,2024-07-11 15:30:00.000
XAUUSDm,2024-07-11 16:00:00+00:00,2417.303,2419.246,2412.93,2413.433,4248,199,0,30m,2024-07-11 16:00:00.000
XAUUSDm,2024-07-11 16:30:00+00:00,2413.397,2415.411,2411.567,2411.649,3507,199,0,30m,2024-07-11 16:30:00.000
XAUUSDm,2024-07-11 17:00:00+00:00,2411.622,2416.625,2410.006,2416.003,4008,199,0,30m,2024-07-11 17:00:00.000
XAUUSDm,2024-07-11 17:30:00+00:00,2416.06,2416.636,2412.207,2413.621,3042,199,0,30m,2024-07-11 17:30:00.000
XAUUSDm,2024-07-11 18:00:00+00:00,2413.602,2416.459,2412.919,2413.918,2457,199,0,30m,2024-07-11 18:00:00.000
XAUUSDm,2024-07-11 18:30:00+00:00,2413.919,2416.595,2413.912,2416.378,2162,200,0,30m,2024-07-11 18:30:00.000
XAUUSDm,2024-07-11 19:00:00+00:00,2416.335,2418.666,2415.618,2417.079,2095,200,0,30m,2024-07-11 19:00:00.000
XAUUSDm,2024-07-11 19:30:00+00:00,2417.095,2417.511,2414.046,2414.08,2368,199,0,30m,2024-07-11 19:30:00.000
XAUUSDm,2024-07-11 20:00:00+00:00,2414.137,2415.094,2413.094,2414.203,1581,200,0,30m,2024-07-11 20:00:00.000
XAUUSDm,2024-07-11 20:30:00+00:00,2414.216,2414.775,2413.394,2414.775,1161,200,0,30m,2024-07-11 20:30:00.000
XAUUSDm,2024-07-11 22:00:00+00:00,2414.522,2414.522,2411.106,2412.48,1397,200,0,30m,2024-07-11 22:00:00.000
XAUUSDm,2024-07-11 22:30:00+00:00,2412.511,2414.078,2412.163,2413.968,1191,200,0,30m,2024-07-11 22:30:00.000
XAUUSDm,2024-07-11 23:00:00+00:00,2413.914,2415.026,2412.328,2414.311,1361,199,0,30m,2024-07-11 23:00:00.000
XAUUSDm,2024-07-11 23:30:00+00:00,2414.281,2416.001,2411.917,2415.851,2972,199,0,30m,2024-07-11 23:30:00.000
XAUUSDm,2024-07-12 00:00:00+00:00,2415.855,2416.252,2411.214,2411.837,2761,199,0,30m,2024-07-12 00:00:00.000
XAUUSDm,2024-07-12 00:30:00+00:00,2411.823,2413.381,2410.997,2411.959,2148,199,0,30m,2024-07-12 00:30:00.000
XAUUSDm,2024-07-12 01:00:00+00:00,2411.948,2414.232,2408.266,2408.948,3068,199,0,30m,2024-07-12 01:00:00.000
XAUUSDm,2024-07-12 01:30:00+00:00,2408.946,2410.143,2407.043,2407.895,2824,199,0,30m,2024-07-12 01:30:00.000
XAUUSDm,2024-07-12 02:00:00+00:00,2407.937,2410.119,2406.649,2407.748,2386,200,0,30m,2024-07-12 02:00:00.000
XAUUSDm,2024-07-12 02:30:00+00:00,2407.691,2410.916,2406.961,2409.576,2390,199,0,30m,2024-07-12 02:30:00.000
XAUUSDm,2024-07-12 03:00:00+00:00,2409.526,2410.189,2408.585,2409.212,2059,199,0,30m,2024-07-12 03:00:00.000
XAUUSDm,2024-07-12 03:30:00+00:00,2409.16,2409.794,2408.538,2408.778,1522,199,0,30m,2024-07-12 03:30:00.000
XAUUSDm,2024-07-12 04:00:00+00:00,2408.779,2409.892,2408.128,2409.27,1430,200,0,30m,2024-07-12 04:00:00.000
XAUUSDm,2024-07-12 04:30:00+00:00,2409.263,2409.923,2408.281,2408.62,1410,200,0,30m,2024-07-12 04:30:00.000
XAUUSDm,2024-07-12 05:00:00+00:00,2408.658,2409.334,2406.602,2408.103,1847,199,0,30m,2024-07-12 05:00:00.000
