symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
GBPUSDm,2023-12-28 04:00:00+00:00,1.28122,1.28272,1.28041,1.28178,7099,12,0,4h,2023-12-28 04:00:00.000
GBPUSDm,2023-12-28 08:00:00+00:00,1.28183,1.28185,1.27872,1.27913,10681,12,0,4h,2023-12-28 08:00:00.000
GBPUSDm,2023-12-28 12:00:00+00:00,1.27914,1.27914,1.27368,1.27704,14827,12,0,4h,2023-12-28 12:00:00.000
GBPUSDm,2023-12-28 16:00:00+00:00,1.27704,1.27705,1.27119,1.27262,10504,12,0,4h,2023-12-28 16:00:00.000
GBPUSDm,2023-12-28 20:00:00+00:00,1.27262,1.27375,1.27165,1.27336,4710,12,0,4h,2023-12-28 20:00:00.000
GBPUSDm,2023-12-29 00:00:00+00:00,1.27337,1.27466,1.27287,1.27371,6147,12,0,4h,2023-12-29 00:00:00.000
GBPUSDm,2023-12-29 04:00:00+00:00,1.2737,1.27722,1.27361,1.27463,6892,12,0,4h,2023-12-29 04:00:00.000
GBPUSDm,2023-12-29 08:00:00+00:00,1.27465,1.27566,1.26999,1.27453,10715,12,0,4h,2023-12-29 08:00:00.000
GBPUSDm,2023-12-29 12:00:00+00:00,1.27452,1.27592,1.27004,1.2747,16518,12,0,4h,2023-12-29 12:00:00.000
GBPUSDm,2023-12-29 16:00:00+00:00,1.2747,1.27665,1.27301,1.27453,15133,12,0,4h,2023-12-29 16:00:00.000
GBPUSDm,2023-12-29 20:00:00+00:00,1.27457,1.27555,1.27298,1.27308,3790,12,0,4h,2023-12-29 20:00:00.000
GBPUSDm,2024-01-01 20:00:00+00:00,1.27402,1.27444,1.26765,1.27189,1696,175,0,4h,2024-01-01 20:00:00.000
GBPUSDm,2024-01-02 00:00:00+00:00,1.27194,1.27282,1.27016,1.27105,5951,96,0,4h,2024-01-02 00:00:00.000
GBPUSDm,2024-01-02 04:00:00+00:00,1.27105,1.27355,1.27027,1.27238,5909,164,0,4h,2024-01-02 04:00:00.000
GBPUSDm,2024-01-02 08:00:00+00:00,1.27237,1.27523,1.26534,1.26616,13708,12,0,4h,2024-01-02 08:00:00.000
GBPUSDm,2024-01-02 12:00:00+00:00,1.26619,1.26625,1.26146,1.26246,21273,12,0,4h,2024-01-02 12:00:00.000
GBPUSDm,2024-01-02 16:00:00+00:00,1.26247,1.26366,1.26102,1.26194,12532,12,0,4h,2024-01-02 16:00:00.000
GBPUSDm,2024-01-02 20:00:00+00:00,1.26195,1.26262,1.26127,1.2622,4843,12,0,4h,2024-01-02 20:00:00.000
GBPUSDm,2024-01-03 00:00:00+00:00,1.26224,1.26405,1.26194,1.264,6575,12,0,4h,2024-01-03 00:00:00.000
GBPUSDm,2024-01-03 04:00:00+00:00,1.264,1.26465,1.26237,1.26432,8031,12,0,4h,2024-01-03 04:00:00.000
GBPUSDm,2024-01-03 08:00:00+00:00,1.2643,1.26521,1.2618,1.26264,13319,12,0,4h,2024-01-03 08:00:00.000
GBPUSDm,2024-01-03 12:00:00+00:00,1.26267,1.26562,1.26151,1.26274,21632,8,0,4h,2024-01-03 12:00:00.000
GBPUSDm,2024-01-03 16:00:00+00:00,1.26271,1.26763,1.26266,1.26635,18743,12,0,4h,2024-01-03 16:00:00.000
GBPUSDm,2024-01-03 20:00:00+00:00,1.26637,1.26732,1.26539,1.26724,7172,12,0,4h,2024-01-03 20:00:00.000
GBPUSDm,2024-01-04 00:00:00+00:00,1.26727,1.26731,1.26565,1.2673,7117,12,0,4h,2024-01-04 00:00:00.000
GBPUSDm,2024-01-04 04:00:00+00:00,1.26729,1.26934,1.26626,1.26927,9207,12,0,4h,2024-01-04 04:00:00.000
GBPUSDm,2024-01-04 08:00:00+00:00,1.26929,1.27292,1.26814,1.26895,15219,12,0,4h,2024-01-04 08:00:00.000
GBPUSDm,2024-01-04 12:00:00+00:00,1.26898,1.27101,1.26641,1.26987,18270,12,0,4h,2024-01-04 12:00:00.000
GBPUSDm,2024-01-04 16:00:00+00:00,1.26988,1.27038,1.2672,1.26825,11521,12,0,4h,2024-01-04 16:00:00.000
GBPUSDm,2024-01-04 20:00:00+00:00,1.26825,1.26868,1.26711,1.26803,4605,12,0,4h,2024-01-04 20:00:00.000
GBPUSDm,2024-01-05 00:00:00+00:00,1.26805,1.26958,1.26785,1.26807,6907,12,0,4h,2024-01-05 00:00:00.000
GBPUSDm,2024-01-05 04:00:00+00:00,1.26807,1.26858,1.26644,1.26782,8140,12,0,4h,2024-01-05 04:00:00.000
GBPUSDm,2024-01-05 08:00:00+00:00,1.26784,1.26885,1.26498,1.26529,11941,12,0,4h,2024-01-05 08:00:00.000
GBPUSDm,2024-01-05 12:00:00+00:00,1.26533,1.27705,1.26103,1.27512,34514,12,0,4h,2024-01-05 12:00:00.000
GBPUSDm,2024-01-05 16:00:00+00:00,1.27514,1.27548,1.27097,1.27231,17485,12,0,4h,2024-01-05 16:00:00.000
GBPUSDm,2024-01-05 20:00:00+00:00,1.27229,1.27235,1.27153,1.27189,4767,12,0,4h,2024-01-05 20:00:00.000
GBPUSDm,2024-01-07 20:00:00+00:00,1.27055,1.27181,1.27013,1.27152,1316,40,0,4h,2024-01-07 20:00:00.000
GBPUSDm,2024-01-08 00:00:00+00:00,1.27166,1.27295,1.26985,1.27014,6714,12,0,4h,2024-01-08 00:00:00.000
GBPUSDm,2024-01-08 04:00:00+00:00,1.2701,1.27196,1.26974,1.27079,7389,12,0,4h,2024-01-08 04:00:00.000
GBPUSDm,2024-01-08 08:00:00+00:00,1.27079,1.27129,1.26728,1.26976,13154,12,0,4h,2024-01-08 08:00:00.000
GBPUSDm,2024-01-08 12:00:00+00:00,1.26977,1.27553,1.26976,1.27497,16090,12,0,4h,2024-01-08 12:00:00.000
GBPUSDm,2024-01-08 16:00:00+00:00,1.27499,1.27666,1.27395,1.27586,9821,12,0,4h,2024-01-08 16:00:00.000
GBPUSDm,2024-01-08 20:00:00+00:00,1.27583,1.27583,1.27396,1.27405,4996,12,0,4h,2024-01-08 20:00:00.000
GBPUSDm,2024-01-09 00:00:00+00:00,1.27405,1.27647,1.274,1.27556,7466,12,0,4h,2024-01-09 00:00:00.000
GBPUSDm,2024-01-09 04:00:00+00:00,1.27558,1.27558,1.27336,1.27465,7427,12,0,4h,2024-01-09 04:00:00.000
GBPUSDm,2024-01-09 08:00:00+00:00,1.27464,1.27464,1.27066,1.27126,11290,12,0,4h,2024-01-09 08:00:00.000
GBPUSDm,2024-01-09 12:00:00+00:00,1.27125,1.27351,1.27006,1.27029,15483,12,0,4h,2024-01-09 12:00:00.000
GBPUSDm,2024-01-09 16:00:00+00:00,1.27031,1.27182,1.2689,1.2699,11272,12,0,4h,2024-01-09 16:00:00.000
GBPUSDm,2024-01-09 20:00:00+00:00,1.2699,1.27109,1.2699,1.27101,4399,12,0,4h,2024-01-09 20:00:00.000
GBPUSDm,2024-01-10 00:00:00+00:00,1.27104,1.27175,1.26979,1.26987,6365,12,0,4h,2024-01-10 00:00:00.000
GBPUSDm,2024-01-10 04:00:00+00:00,1.26988,1.27052,1.26858,1.26971,6985,12,0,4h,2024-01-10 04:00:00.000
GBPUSDm,2024-01-10 08:00:00+00:00,1.2697,1.27341,1.26962,1.2725,10720,12,0,4h,2024-01-10 08:00:00.000
GBPUSDm,2024-01-10 12:00:00+00:00,1.2725,1.27405,1.27128,1.27356,12757,12,0,4h,2024-01-10 12:00:00.000
GBPUSDm,2024-01-10 16:00:00+00:00,1.27358,1.27423,1.27178,1.27418,9121,12,0,4h,2024-01-10 16:00:00.000
GBPUSDm,2024-01-10 20:00:00+00:00,1.27419,1.2744,1.27236,1.27436,4992,12,0,4h,2024-01-10 20:00:00.000
GBPUSDm,2024-01-11 00:00:00+00:00,1.27439,1.27693,1.27436,1.27662,6717,12,0,4h,2024-01-11 00:00:00.000
GBPUSDm,2024-01-11 04:00:00+00:00,1.27661,1.27738,1.27591,1.27641,6585,12,0,4h,2024-01-11 04:00:00.000
GBPUSDm,2024-01-11 08:00:00+00:00,1.27645,1.27677,1.27332,1.27651,10378,12,0,4h,2024-01-11 08:00:00.000
GBPUSDm,2024-01-11 12:00:00+00:00,1.27655,1.27824,1.26896,1.27135,30067,12,0,4h,2024-01-11 12:00:00.000
GBPUSDm,2024-01-11 16:00:00+00:00,1.27133,1.2765,1.26991,1.27621,17497,12,0,4h,2024-01-11 16:00:00.000
GBPUSDm,2024-01-11 20:00:00+00:00,1.27619,1.27784,1.27412,1.27777,6985,12,0,4h,2024-01-11 20:00:00.000
GBPUSDm,2024-01-12 00:00:00+00:00,1.27782,1.27844,1.27652,1.27757,7712,12,0,4h,2024-01-12 00:00:00.000
GBPUSDm,2024-01-12 04:00:00+00:00,1.27757,1.27779,1.27538,1.27557,8098,12,0,4h,2024-01-12 04:00:00.000
GBPUSDm,2024-01-12 08:00:00+00:00,1.27552,1.2779,1.27245,1.27249,11246,12,0,4h,2024-01-12 08:00:00.000
GBPUSDm,2024-01-12 12:00:00+00:00,1.27249,1.27852,1.27189,1.27612,20969,12,0,4h,2024-01-12 12:00:00.000
GBPUSDm,2024-01-12 16:00:00+00:00,1.27611,1.27683,1.27319,1.27471,11606,12,0,4h,2024-01-12 16:00:00.000
GBPUSDm,2024-01-12 20:00:00+00:00,1.27469,1.27539,1.27422,1.27532,4841,12,0,4h,2024-01-12 20:00:00.000
GBPUSDm,2024-01-14 20:00:00+00:00,1.27328,1.27486,1.27313,1.27337,1364,40,0,4h,2024-01-14 20:00:00.000
GBPUSDm,2024-01-15 00:00:00+00:00,1.27352,1.2765,1.2728,1.27581,8008,12,0,4h,2024-01-15 00:00:00.000
GBPUSDm,2024-01-15 04:00:00+00:00,1.27581,1.27595,1.27405,1.2743,6297,12,0,4h,2024-01-15 04:00:00.000
GBPUSDm,2024-01-15 08:00:00+00:00,1.27426,1.27586,1.27124,1.27309,11165,12,0,4h,2024-01-15 08:00:00.000
GBPUSDm,2024-01-15 12:00:00+00:00,1.27306,1.27389,1.27126,1.27302,11161,12,0,4h,2024-01-15 12:00:00.000
GBPUSDm,2024-01-15 16:00:00+00:00,1.27306,1.27382,1.27245,1.27249,4011,12,0,4h,2024-01-15 16:00:00.000
GBPUSDm,2024-01-15 20:00:00+00:00,1.27249,1.27284,1.27137,1.27145,2193,12,0,4h,2024-01-15 20:00:00.000
GBPUSDm,2024-01-16 00:00:00+00:00,1.27149,1.27163,1.26782,1.26818,8673,12,0,4h,2024-01-16 00:00:00.000
GBPUSDm,2024-01-16 04:00:00+00:00,1.26816,1.26864,1.26609,1.26723,8299,12,0,4h,2024-01-16 04:00:00.000
GBPUSDm,2024-01-16 08:00:00+00:00,1.26722,1.2676,1.26197,1.26456,16638,12,0,4h,2024-01-16 08:00:00.000
GBPUSDm,2024-01-16 12:00:00+00:00,1.26456,1.26722,1.26368,1.26648,21126,12,0,4h,2024-01-16 12:00:00.000
GBPUSDm,2024-01-16 16:00:00+00:00,1.26653,1.26787,1.26189,1.26311,19480,12,0,4h,2024-01-16 16:00:00.000
GBPUSDm,2024-01-16 20:00:00+00:00,1.26311,1.26382,1.26272,1.26369,4909,12,0,4h,2024-01-16 20:00:00.000
GBPUSDm,2024-01-17 00:00:00+00:00,1.26373,1.26434,1.26159,1.26187,7654,12,0,4h,2024-01-17 00:00:00.000
GBPUSDm,2024-01-17 04:00:00+00:00,1.26185,1.26566,1.25959,1.26562,11453,12,0,4h,2024-01-17 04:00:00.000
GBPUSDm,2024-01-17 08:00:00+00:00,1.26557,1.26959,1.26432,1.26913,16062,12,0,4h,2024-01-17 08:00:00.000
GBPUSDm,2024-01-17 12:00:00+00:00,1.26913,1.2692,1.26377,1.26567,18968,12,0,4h,2024-01-17 12:00:00.000
GBPUSDm,2024-01-17 16:00:00+00:00,1.26565,1.26852,1.26554,1.2677,12672,12,0,4h,2024-01-17 16:00:00.000
GBPUSDm,2024-01-17 20:00:00+00:00,1.26773,1.26864,1.26679,1.26758,4979,12,0,4h,2024-01-17 20:00:00.000
GBPUSDm,2024-01-18 00:00:00+00:00,1.26766,1.26951,1.26708,1.26816,8726,12,0,4h,2024-01-18 00:00:00.000
GBPUSDm,2024-01-18 04:00:00+00:00,1.26814,1.27035,1.26772,1.26973,9161,12,0,4h,2024-01-18 04:00:00.000
GBPUSDm,2024-01-18 08:00:00+00:00,1.26975,1.2698,1.26721,1.26844,13982,12,0,4h,2024-01-18 08:00:00.000
GBPUSDm,2024-01-18 12:00:00+00:00,1.26847,1.26908,1.26476,1.2673,21871,12,0,4h,2024-01-18 12:00:00.000
GBPUSDm,2024-01-18 16:00:00+00:00,1.26726,1.27012,1.26695,1.26857,13421,12,0,4h,2024-01-18 16:00:00.000
GBPUSDm,2024-01-18 20:00:00+00:00,1.26857,1.27112,1.2684,1.27102,4915,12,0,4h,2024-01-18 20:00:00.000
GBPUSDm,2024-01-19 00:00:00+00:00,1.27105,1.2714,1.26995,1.27124,6961,12,0,4h,2024-01-19 00:00:00.000
GBPUSDm,2024-01-19 04:00:00+00:00,1.27124,1.27127,1.26714,1.26857,8391,12,0,4h,2024-01-19 04:00:00.000
GBPUSDm,2024-01-19 08:00:00+00:00,1.26855,1.26904,1.26651,1.26807,12776,12,0,4h,2024-01-19 08:00:00.000
GBPUSDm,2024-01-19 12:00:00+00:00,1.26806,1.26861,1.26608,1.26793,16655,12,0,4h,2024-01-19 12:00:00.000
GBPUSDm,2024-01-19 16:00:00+00:00,1.26792,1.26988,1.26647,1.26964,11039,12,0,4h,2024-01-19 16:00:00.000
GBPUSDm,2024-01-19 20:00:00+00:00,1.26963,1.27059,1.2694,1.27037,3268,12,0,4h,2024-01-19 20:00:00.000
