symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
GBPUSDm,2024-08-08 06:40:00+00:00,1.27037,1.27078,1.27028,1.2705,217,12,0,5m,2024-08-08 06:40:00.000
GBPUSDm,2024-08-08 06:45:00+00:00,1.27052,1.27097,1.27044,1.27087,203,12,0,5m,2024-08-08 06:45:00.000
GBPUSDm,2024-08-08 06:50:00+00:00,1.27088,1.27095,1.2704,1.27083,228,12,0,5m,2024-08-08 06:50:00.000
GBPUSDm,2024-08-08 06:55:00+00:00,1.27083,1.27128,1.27074,1.27114,222,12,0,5m,2024-08-08 06:55:00.000
GBPUSDm,2024-08-08 07:00:00+00:00,1.27117,1.2713,1.27052,1.27068,337,12,0,5m,2024-08-08 07:00:00.000
GBPUSDm,2024-08-08 07:05:00+00:00,1.27068,1.27087,1.27032,1.27044,282,12,0,5m,2024-08-08 07:05:00.000
GBPUSDm,2024-08-08 07:10:00+00:00,1.27043,1.27084,1.27023,1.27028,271,12,0,5m,2024-08-08 07:10:00.000
GBPUSDm,2024-08-08 07:15:00+00:00,1.27027,1.27048,1.26981,1.27032,312,12,0,5m,2024-08-08 07:15:00.000
GBPUSDm,2024-08-08 07:20:00+00:00,1.27033,1.2704,1.2699,1.26997,299,12,0,5m,2024-08-08 07:20:00.000
GBPUSDm,2024-08-08 07:25:00+00:00,1.26994,1.27022,1.26931,1.26936,335,12,0,5m,2024-08-08 07:25:00.000
GBPUSDm,2024-08-08 07:30:00+00:00,1.26934,1.2696,1.26903,1.26954,278,12,0,5m,2024-08-08 07:30:00.000
GBPUSDm,2024-08-08 07:35:00+00:00,1.26954,1.26964,1.26895,1.26924,332,12,0,5m,2024-08-08 07:35:00.000
GBPUSDm,2024-08-08 07:40:00+00:00,1.26924,1.26954,1.26896,1.2691,273,12,0,5m,2024-08-08 07:40:00.000
GBPUSDm,2024-08-08 07:45:00+00:00,1.2691,1.26941,1.26894,1.2694,311,12,0,5m,2024-08-08 07:45:00.000
GBPUSDm,2024-08-08 07:50:00+00:00,1.26938,1.26981,1.26921,1.2698,292,12,0,5m,2024-08-08 07:50:00.000
GBPUSDm,2024-08-08 07:55:00+00:00,1.26982,1.27038,1.26982,1.26998,311,12,0,5m,2024-08-08 07:55:00.000
GBPUSDm,2024-08-08 08:00:00+00:00,1.27,1.2705,1.26989,1.27039,309,12,0,5m,2024-08-08 08:00:00.000
