symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
BTCUSDm,2024-07-09 15:30:00+00:00,57248.6,57556.01,57069.24,57521.23,3516,2661,0,30m,2024-07-09 15:30:00.000
BTCUSDm,2024-07-09 16:00:00+00:00,57521.43,57910.81,57464.24,57725.49,3382,2635,0,30m,2024-07-09 16:00:00.000
BTCUSDm,2024-07-09 16:30:00+00:00,57729.45,57775.44,57433.97,57709.51,3712,2591,0,30m,2024-07-09 16:30:00.000
BTCUSDm,2024-07-09 17:00:00+00:00,57710.42,57829.26,57500.57,57632.27,3259,2564,0,30m,2024-07-09 17:00:00.000
BTCUSDm,2024-07-09 17:30:00+00:00,57631.47,57703.78,57407.82,57550.45,2664,2597,0,30m,2024-07-09 17:30:00.000
BTCUSDm,2024-07-09 18:00:00+00:00,57551.47,58000.32,57474.16,57753.13,3036,2556,0,30m,2024-07-09 18:00:00.000
BTCUSDm,2024-07-09 18:30:00+00:00,57754.33,58308.65,57734.94,57939.78,4375,2562,0,30m,2024-07-09 18:30:00.000
BTCUSDm,2024-07-09 19:00:00+00:00,57939.32,57960.06,57737.75,57920.73,2890,2600,0,30m,2024-07-09 19:00:00.000
BTCUSDm,2024-07-09 19:30:00+00:00,57925.22,57928.69,57725.52,57886.37,2941,2641,0,30m,2024-07-09 19:30:00.000
BTCUSDm,2024-07-09 20:00:00+00:00,57886.42,58038.73,57734.71,57941.47,3024,2628,0,30m,2024-07-09 20:00:00.000
BTCUSDm,2024-07-09 20:30:00+00:00,57938.68,58156.22,57905.7,57962.63,3051,2603,0,30m,2024-07-09 20:30:00.000
BTCUSDm,2024-07-09 21:00:00+00:00,57961.85,58007.75,57801.21,57940.81,2576,2622,0,30m,2024-07-09 21:00:00.000
BTCUSDm,2024-07-09 21:30:00+00:00,57938.87,58011.63,57771.18,57816.91,2419,2656,0,30m,2024-07-09 21:30:00.000
BTCUSDm,2024-07-09 22:00:00+00:00,57817.18,57906.62,57750.38,57861.05,2648,2671,0,30m,2024-07-09 22:00:00.000
BTCUSDm,2024-07-09 22:30:00+00:00,57864.26,58317.05,57850.21,57971.84,3001,2601,0,30m,2024-07-09 22:30:00.000
BTCUSDm,2024-07-09 23:00:00+00:00,57972.4,58028.22,57886.89,57931.4,2879,2613,0,30m,2024-07-09 23:00:00.000
BTCUSDm,2024-07-09 23:30:00+00:00,57935.49,58165.48,57907.72,58073.91,2790,2600,0,30m,2024-07-09 23:30:00.000
BTCUSDm,2024-07-10 00:00:00+00:00,58074.19,58083.4,57613.57,57650.35,3059,2576,0,30m,2024-07-10 00:00:00.000
BTCUSDm,2024-07-10 00:30:00+00:00,57653.66,57876.43,57453.1,57543.86,3201,2598,0,30m,2024-07-10 00:30:00.000
BTCUSDm,2024-07-10 01:00:00+00:00,57535.39,57818.83,57377.8,57815.98,3026,2593,0,30m,2024-07-10 01:00:00.000
BTCUSDm,2024-07-10 01:30:00+00:00,57818.75,58043.5,57709.29,57873.99,3280,2597,0,30m,2024-07-10 01:30:00.000
BTCUSDm,2024-07-10 02:00:00+00:00,57872.75,57951.36,57696.65,57789.09,3105,2597,0,30m,2024-07-10 02:00:00.000
BTCUSDm,2024-07-10 02:30:00+00:00,57787.29,57986.42,57751.4,57934.51,2887,2574,0,30m,2024-07-10 02:30:00.000
BTCUSDm,2024-07-10 03:00:00+00:00,57935.15,58063.36,57881.47,58012.54,2558,2528,0,30m,2024-07-10 03:00:00.000
BTCUSDm,2024-07-10 03:30:00+00:00,58011.28,58249.81,57973.93,58217.16,2838,2480,0,30m,2024-07-10 03:30:00.000
BTCUSDm,2024-07-10 04:00:00+00:00,58220.25,59443.36,58211.81,59305.45,5291,2480,0,30m,2024-07-10 04:00:00.000
BTCUSDm,2024-07-10 04:30:00+00:00,59308.65,59399.93,59035.87,59388.46,4047,2313,0,30m,2024-07-10 04:30:00.000
BTCUSDm,2024-07-10 05:00:00+00:00,59388.23,59492.76,59085.6,59176.7,3213,2301,0,30m,2024-07-10 05:00:00.000
BTCUSDm,2024-07-10 05:30:00+00:00,59176.56,59228.73,58885.14,59035.06,3200,2374,0,30m,2024-07-10 05:30:00.000
BTCUSDm,2024-07-10 06:00:00+00:00,59033.49,59200.53,58905.29,59181.66,3179,2448,0,30m,2024-07-10 06:00:00.000
BTCUSDm,2024-07-10 06:30:00+00:00,59184.11,59368.75,59128.23,59292.63,2852,2432,0,30m,2024-07-10 06:30:00.000
BTCUSDm,2024-07-10 07:00:00+00:00,59293.71,59334.0,59072.26,59100.9,2827,2409,0,30m,2024-07-10 07:00:00.000
BTCUSDm,2024-07-10 07:30:00+00:00,59098.53,59160.11,58887.69,59040.55,2799,2419,0,30m,2024-07-10 07:30:00.000
BTCUSDm,2024-07-10 08:00:00+00:00,59041.01,59092.97,58631.98,58789.05,3912,2444,0,30m,2024-07-10 08:00:00.000
BTCUSDm,2024-07-10 08:30:00+00:00,58788.14,58892.38,58622.22,58806.65,3401,2484,0,30m,2024-07-10 08:30:00.000
BTCUSDm,2024-07-10 09:00:00+00:00,58807.55,58829.54,58505.31,58545.16,3279,2548,0,30m,2024-07-10 09:00:00.000
BTCUSDm,2024-07-10 09:30:00+00:00,58551.33,58660.7,58410.76,58503.99,3091,2583,0,30m,2024-07-10 09:30:00.000
