symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
NZDUSDm,2024-07-01 15:30:00+00:00,0.60659,0.60695,0.60645,0.6069,599,20,0,30m,2024-07-01 15:30:00.000
NZDUSDm,2024-07-01 16:00:00+00:00,0.6069,0.60742,0.60669,0.60733,532,20,0,30m,2024-07-01 16:00:00.000
NZDUSDm,2024-07-01 16:30:00+00:00,0.60733,0.60749,0.60695,0.60714,456,20,0,30m,2024-07-01 16:30:00.000
NZDUSDm,2024-07-01 17:00:00+00:00,0.60714,0.60746,0.60704,0.60744,366,20,0,30m,2024-07-01 17:00:00.000
NZDUSDm,2024-07-01 17:30:00+00:00,0.60743,0.60748,0.60713,0.60718,337,20,0,30m,2024-07-01 17:30:00.000
NZDUSDm,2024-07-01 18:00:00+00:00,0.60718,0.60719,0.60661,0.60663,361,20,0,30m,2024-07-01 18:00:00.000
NZDUSDm,2024-07-01 18:30:00+00:00,0.60663,0.60696,0.60658,0.6067,250,20,0,30m,2024-07-01 18:30:00.000
NZDUSDm,2024-07-01 19:00:00+00:00,0.6067,0.60723,0.60669,0.60716,320,20,0,30m,2024-07-01 19:00:00.000
NZDUSDm,2024-07-01 19:30:00+00:00,0.60716,0.60745,0.60714,0.60741,270,20,0,30m,2024-07-01 19:30:00.000
NZDUSDm,2024-07-01 20:00:00+00:00,0.6074,0.6075,0.6074,0.60749,126,20,0,30m,2024-07-01 20:00:00.000
NZDUSDm,2024-07-01 20:30:00+00:00,0.60749,0.60766,0.60716,0.60719,130,20,0,30m,2024-07-01 20:30:00.000
NZDUSDm,2024-07-01 21:00:00+00:00,0.6072,0.60721,0.60687,0.60713,331,60,0,30m,2024-07-01 21:00:00.000
NZDUSDm,2024-07-01 21:30:00+00:00,0.60714,0.60731,0.60683,0.60724,398,63,0,30m,2024-07-01 21:30:00.000
NZDUSDm,2024-07-01 22:00:00+00:00,0.60733,0.60733,0.60636,0.60681,186,60,0,30m,2024-07-01 22:00:00.000
NZDUSDm,2024-07-01 22:30:00+00:00,0.60681,0.60683,0.60637,0.60639,154,60,0,30m,2024-07-01 22:30:00.000
NZDUSDm,2024-07-01 23:00:00+00:00,0.60667,0.60671,0.60652,0.60654,178,20,0,30m,2024-07-01 23:00:00.000
NZDUSDm,2024-07-01 23:30:00+00:00,0.60654,0.60655,0.60628,0.60633,161,20,0,30m,2024-07-01 23:30:00.000
NZDUSDm,2024-07-02 00:00:00+00:00,0.60632,0.60672,0.60617,0.60645,436,20,0,30m,2024-07-02 00:00:00.000
NZDUSDm,2024-07-02 00:30:00+00:00,0.60646,0.60647,0.60551,0.60554,377,20,0,30m,2024-07-02 00:30:00.000
